,timestamp,visitorid,event,itemid,transactionid
894,1433175895575,3,addtocart,0,
1416,1433171913082,20,view,1,
2028,1433202686359,11,view,2,
2202,1433208599257,3,view,3,
2293,1433208420263,3,view,4,
2655,1433151755914,29,view,5,
2656,1433151759810,29,view,6,
2701,1433143285999,9,view,7,
2840,1433148445966,9,view,8,
2889,1433195653390,3,view,9,
2934,1433196602801,3,view,10,
3841,1433184506442,3,view,11,
4654,1433176231069,3,view,12,
4706,1433175880417,3,view,0,
4974,1433147156975,9,view,7,
5033,1433148230538,9,view,13,
5044,1433148403157,9,view,8,
5124,1433142675533,9,view,7,
5245,1433181407262,3,view,14,
5741,1433180336840,3,view,15,
5776,1433179654592,3,view,16,
5997,1433202500212,20,view,17,
6134,1433208458430,3,view,18,
6617,1433196572229,3,view,19,
6769,1433195202302,3,addtocart,20,
6929,1433171919559,20,view,21,
7479,1433207128024,3,view,22,
8599,1433202781983,20,view,21,
8625,1433202247473,20,view,21,
8824,1433176262959,3,view,23,
8987,1433180634921,3,transaction,15,6985.0
9494,1433181549959,3,transaction,24,10835.0
9495,1433181549959,3,transaction,14,10835.0
9596,1433148194414,9,view,13,
11133,1433171908989,20,view,21,
12286,1433194652057,3,view,25,
12785,1433189788631,11,addtocart,26,
13312,1433195693299,3,view,27,
13590,1433157027825,0,view,28,
13655,1433147900323,9,view,7,
13657,1433147967663,9,view,7,
14099,1433211678859,3,view,29,
14130,1433208465215,3,view,30,
14541,1433206831557,3,view,31,
14827,1433172186502,20,view,32,
14912,1433172194761,20,view,17,
15071,1433186892672,3,view,33,
15160,1433185356208,3,view,34,
15165,1433186866606,29,view,6,
15180,1433186143197,3,view,35,
15234,1433186858858,29,view,5,
15316,1433186820873,3,view,36,
15572,1433202237238,20,view,21,
16189,1433193255327,9,view,8,
16467,1433202241723,20,view,1,
17548,1433157027825,0,view,37,
17729,1433179021688,3,view,38,
17787,1433179663532,3,addtocart,16,
17869,1433179832884,3,transaction,16,4581.0
18270,1433185146841,10,view,39,
18350,1433185158296,10,view,40,
18381,1433185390451,3,addtocart,34,
18525,1433196160292,3,view,41,
18572,1433195162309,3,view,20,
19544,1433176493615,3,view,42,
19702,1433172546109,20,view,21,
20995,1433202495368,20,view,32,
21331,1433148107696,9,view,8,
21333,1433148259950,9,view,43,
21336,1433148369879,9,view,44,
21725,1433180371305,3,addtocart,15,
21729,1433178127345,3,view,45,
21777,1433208471462,3,view,46,
22279,1433188093550,3,view,47,
22400,1433181433686,3,addtocart,14,
22842,1433195473830,10,view,48,
24001,1433279092623,25,view,49,
24070,1433277838130,25,view,50,
24154,1433279832970,25,addtocart,51,
24169,1433279083042,25,view,52,
24182,1433280807299,25,addtocart,53,
24318,1433288931778,25,view,54,
24427,1433286631386,25,view,55,
24544,1433275279545,25,view,56,
24624,1433274607050,20,view,1,
24677,1433275543805,25,view,57,
24956,1433266842641,25,view,58,
25100,1433266932807,3,addtocart,59,
25101,1433269110166,25,view,60,
25428,1433265212965,25,view,61,
25475,1433264513018,25,view,62,
25538,1433265211901,25,view,63,
25558,1433263818935,25,view,64,
25618,1433264851971,25,view,65,
25627,1433264533542,25,view,66,
25661,1433296060915,25,view,67,
25761,1433295448207,25,view,68,
25825,1433296159481,25,view,69,
26073,1433253292496,29,view,6,
26284,1433282331076,25,view,70,
26334,1433283185050,25,view,71,
26362,1433283484547,25,view,72,
26414,1433282051497,25,addtocart,70,
26503,1433290973503,3,transaction,73,12711.0
26511,1433293221310,25,view,74,
26544,1433292872562,11,view,75,
26551,1433292219439,20,view,17,
26651,1433290609912,3,view,73,
27010,1433273305536,3,addtocart,76,
27017,1433273227934,3,view,76,
27157,1433271008846,25,view,77,
27241,1433271778771,3,view,78,
27272,1433270526808,25,view,79,
27342,1433262220229,3,view,80,
27473,1433261546829,11,view,81,
27735,1433300213334,25,view,82,
27949,1433269784893,3,addtocart,83,
28011,1433269707828,3,view,83,
28155,1433265683675,25,view,84,
28166,1433263770730,25,view,85,
28205,1433265212903,25,view,86,
28259,1433264986094,25,view,87,
28305,1433265873982,3,view,88,
28771,1433286678738,25,view,89,
28783,1433286645609,25,view,90,
28793,1433285029663,25,view,79,
28817,1433287582849,11,view,91,
28842,1433285730759,25,view,92,
28896,1433287521077,25,view,93,
28899,1433285028681,25,view,56,
28926,1433286626517,25,view,94,
29537,1433296052826,25,view,95,
29624,1433297093895,25,view,96,
29724,1433272939050,25,view,97,
29745,1433272124448,3,view,78,
29770,1433273162266,25,transaction,97,9120.0
29778,1433273668494,25,view,98,
29797,1433270725602,25,view,99,
29823,1433272631833,25,view,100,
29845,1433272855710,25,view,98,
29936,1433270433216,3,transaction,83,14814.0
29963,1433271162004,3,transaction,101,17198.0
29964,1433271162004,3,transaction,102,17198.0
30195,1433283747555,25,view,103,
30277,1433279019289,25,view,52,
30296,1433279765813,25,view,104,
30323,1433280074712,25,view,105,
30354,1433280753129,25,view,53,
30420,1433279275938,25,view,106,
30602,1433274637665,20,view,21,
30775,1433275673312,20,view,17,
30836,1433290271697,25,view,107,
30840,1433292957929,11,view,108,
30903,1433293274077,25,view,109,
30997,1433290973503,3,transaction,110,12711.0
31000,1433291788629,11,view,111,
31124,1433259632508,3,view,112,
31204,1433260804038,3,addtocart,113,
31275,1433262303305,3,view,114,
31312,1433259571121,3,view,112,
31329,1433260810718,3,addtocart,113,
31375,1433300361401,25,transaction,82,11789.0
31767,1433280055769,25,view,98,
31773,1433280017005,25,view,98,
31802,1433279896311,25,view,115,
31814,1433278783068,25,view,116,
31906,1433264181964,25,view,117,
31921,1433265197940,25,view,118,
31922,1433263785224,25,view,119,
31933,1433265579682,25,view,120,
31943,1433266212888,25,view,121,
32004,1433263776274,25,view,122,
32094,1433265064832,25,view,87,
32223,1433290839618,25,view,123,
32293,1433291932318,20,view,21,
32308,1433292932008,11,view,124,
32326,1433293278759,11,view,125,
32334,1433291403700,25,view,59,
32352,1433293584996,25,view,74,
32423,1433287793238,25,view,126,
32436,1433288726754,25,view,127,
32479,1433288355138,25,view,128,
32566,1433286683631,25,view,129,
32670,1433266504888,25,view,12,
32752,1433269210756,25,view,60,
32757,1433266798863,3,view,130,
32898,1433268176257,25,view,131,
32937,1433237945070,29,view,6,
33472,1433294966712,25,view,132,
33626,1433296138707,25,view,133,
33627,1433296551553,25,view,134,
33649,1433298298404,25,view,135,
33687,1433294080668,25,view,132,
33758,1433297124904,25,view,136,
33761,1433298122181,25,view,137,
33931,1433283559054,25,view,33,
34060,1433283908346,25,view,138,
34594,1433274496906,3,view,139,
34752,1433271260264,25,view,140,
34799,1433270169831,3,view,83,
34908,1433270491277,25,view,141,
34919,1433271842105,3,view,78,
34978,1433259838046,3,transaction,112,489.0
34986,1433260946982,3,view,113,
34994,1433260939839,3,view,142,
35004,1433260887543,3,view,113,
35146,1433260636402,3,view,113,
35417,1433302495637,0,view,28,
35530,1433286612520,25,view,143,
35537,1433286543533,25,view,144,
35589,1433287741314,25,view,145,
35606,1433286567749,25,view,146,
35654,1433285571984,25,view,147,
35702,1433288370705,25,view,128,
35732,1433286672615,25,view,148,
36576,1433284280281,25,view,149,
36624,1433282046433,25,view,70,
36659,1433281194538,25,view,70,
36664,1433284321479,25,view,150,
36668,1433284323000,25,view,151,
36753,1433264188405,25,view,117,
36789,1433263753399,25,view,122,
36865,1433265151382,25,view,152,
36882,1433263255074,3,view,153,
36995,1433268945333,25,view,154,
37021,1433269670423,25,view,155,
37033,1433268656852,25,view,68,
37050,1433266570016,3,transaction,156,15016.0
37166,1433267281992,25,view,157,
37203,1433268413742,25,view,158,
37343,1433295415991,25,view,159,
37360,1433295027862,25,view,56,
37449,1433296592666,25,view,134,
37454,1433296562560,25,view,68,
37533,1433272966462,25,addtocart,97,
37697,1433270520851,25,view,64,
37784,1433278291649,25,view,160,
37943,1433281061118,25,transaction,53,30.0
38020,1433280830187,25,view,53,
38381,1433274732782,25,view,161,
38415,1433274818564,25,view,161,
38424,1433274596201,20,view,21,
38452,1433274316198,25,view,162,
38492,1433277143941,25,view,163,
38608,1433291781601,11,view,164,
38615,1433292498131,20,view,21,
38636,1433291945775,20,view,21,
38684,1433292211487,20,view,32,
38744,1433290921403,25,view,90,
38762,1433293220342,11,view,165,
38766,1433260290682,3,view,166,
38884,1433259607351,3,addtocart,112,
38968,1433261735457,3,view,78,
39040,1433299984930,3,view,167,
39115,1433299387499,25,view,168,
39152,1433300149596,25,view,82,
39184,1433302495637,0,view,37,
39291,1433286622087,25,view,169,
39317,1433286558725,25,view,170,
39328,1433286618067,25,view,171,
39345,1433287738291,25,view,145,
39475,1433286187725,25,view,172,
39479,1433288680034,11,view,173,
39528,1433286637452,25,view,174,
39550,1433286687593,25,view,175,
39586,1433263947982,25,view,176,
39594,1433263910922,25,view,176,
39615,1433263858315,3,view,177,
39664,1433263561074,25,view,90,
